scenario	variant	label	n	output_rows	wall_mean	wall_sd	db_mean	db_sd	query_mean	query_sd	post_mean	post_sd	other_mean	other_sd	rss_mean_gb	rss_sd_gb	cpu_mean	cpu_sd	fs_in_mean	fs_out_mean
half_nosketch_t1	old_release	Old release no sketch	3	305	135.36	1.97372743812311	70.7169333333333	0.588985673283598	34.8340666666667	0.113381494668808	0.0305609666666667	0.000106201898915855	29.7784390333333	1.50826548045721	4.05658340454102	0.00103751350510379	90	1	0	2056
half_nosketch_t1	new_release	Current release no sketch	3	305	121.956666666667	1.01278493932983	69.981	0.437930827871248	21.9473	0.0652036808776936	0.0236688	2.30362757406651e-05	30.0046978666667	0.875259025999727	4.07042185465495	0.000661234977591113	89	1	0	2040
half_sketch_t8	standard	Sketch query standard	3	1015	10.78	1.02239913927976	3.46185	0.322197849775569	3.02356333333333	0.00573343120071503	0.00292294666666667	0.000250079896099893	4.29166372	1.34629807947584	5.02656428019206	0.00073585434447718	532.666666666667	40.6489032242364	1029165.33333333	373.333333333333
half_sketch_t8	low_memory	Sketch query low-memory	3	1015	52.01	0.186815416922693	2.82123666666667	0.00965150938109323	2.85865333333333	0.00285890421898566	0.00303582	1.22070430489941e-05	46.32707418	0.177912391041241	0.695252736409505	0.000675538979038215	99	0	0	576
