workload	output_rows	ref_phase_sec	map_phase_sec	post_phase_sec	collect_minimizers_sec	build_lookup_index_sec	ipc	cache_miss_rate	branch_miss_rate	llc_load_miss_rate	llc_store_miss_rate	l2_all_demand_miss_rate	l2_demand_data_read_miss_rate	label
old_half_nosketch	305	185.244	34.0798	0.0335427	NA	NA	0.643348	0.912916	0.070752	0.922782	0.873252	0.589591	0.59871	Old no-sketch
new_half_nosketch	305	119.661	21.8493	0.0209722	68.2236	51.4372	0.694842320402595	0.813171383150654	0.0549636385589603	0.803313153885547	0.763716090307223	0.604802919780029	1.61381758781537	Current no-sketch
new_half_sketch_query	305	28.9826	23.1335	0.0228707	NA	NA	0.982020991159837	0.909706482122258	0.0536800466661719	0.967747294885239	0.267607110565477	0.217492546969069	0.284051470172737	Sketch query
new_half_sketch_build_perf	NA	NA	NA	NA	62.0705	56.9946	0.764650975456803	0.850688252680161	0.0467879731793292	0.873035621303731	0.760406735531938	0.720653099079964	2.99671724405671	Sketch build
